iter	Passed	Remaining
0	70	70028
1	141	70484
2	207	68869
3	274	68266
4	340	67700
5	405	67148
6	476	67547
7	542	67328
8	613	67601
9	684	67729
10	751	67599
11	819	67433
12	890	67589
13	956	67336
14	1025	67320
15	1094	67287
16	1160	67130
17	1228	67034
18	1299	67106
19	1366	66980
20	1435	66933
21	1503	66829
22	1574	66889
23	1643	66827
24	1717	66976
25	1784	66838
26	1854	66812
27	1923	66780
28	1993	66751
29	2066	66807
30	2135	66741
31	2203	66666
32	2270	66527
33	2339	66457
34	2407	66384
35	2476	66305
36	2542	66181
37	2613	66171
38	2685	66183
39	2754	66108
40	2824	66059
41	2894	66015
42	2962	65932
43	3033	65899
44	3103	65872
45	3170	65748
46	3237	65651
47	3305	65557
48	3372	65461
49	3444	65437
50	3552	66101
51	3625	66093
52	3697	66058
53	3772	66095
54	3864	66394
55	3934	66323
56	4007	66291
57	4079	66250
58	4152	66228
59	4220	66118
60	4290	66041
61	4361	65991
62	4432	65924
63	4503	65863
64	4575	65816
65	4650	65813
66	4731	65893
67	4812	65956
68	4891	66001
69	4972	66063
70	5072	66373
71	5149	66376
72	5221	66305
73	5294	66253
74	5368	66217
75	5452	66286
76	5540	66413
77	5628	66533
78	5721	66703
79	5810	66820
80	5902	66967
81	6119	68510
82	6192	68418
83	6261	68277
84	6337	68223
85	6414	68176
86	6486	68073
87	6555	67936
88	6631	67881
89	6702	67774
90	6785	67784
91	6870	67810
92	6951	67797
93	7042	67878
94	7132	67945
95	7217	67962
96	7302	67979
97	7394	68058
98	7482	68101
99	7563	68072
100	7630	67918
101	7710	67885
102	7789	67834
103	7859	67711
104	7926	67567
105	7998	67458
106	8068	67334
107	8137	67207
108	8213	67137
109	8292	67093
110	8371	67043
111	8449	66994
112	8532	66974
113	8616	66968
114	8695	66917
115	8775	66873
116	8855	66834
117	8942	66842
118	9015	66744
119	9088	66649
120	9165	66584
121	9248	66561
122	9333	66549
123	9409	66473
124	9478	66350
125	9546	66218
126	9620	66131
127	9701	66089
128	9799	66163
129	9882	66137
130	9971	66143
131	10052	66101
132	10128	66024
133	10209	65980
134	10291	65941
135	10368	65872
136	10446	65804
137	10519	65705
138	10587	65584
139	10654	65450
140	10744	65460
141	10831	65444
142	10900	65329
143	10970	65211
144	11048	65149
145	11126	65084
146	11209	65044
147	11303	65073
148	11372	64951
149	11442	64838
150	11517	64757
151	11597	64703
152	11668	64596
153	11740	64498
154	11810	64387
155	11880	64277
156	11956	64202
157	12043	64183
158	12123	64125
159	12200	64050
160	12277	63982
161	12351	63890
162	12424	63798
163	12494	63691
164	12562	63571
165	12632	63464
166	12702	63360
167	12774	63266
168	12847	63175
169	12918	63073
170	12997	63012
171	13079	62963
172	13155	62889
173	13233	62819
174	13306	62731
175	13382	62655
176	13467	62619
177	13559	62619
178	13665	62679
179	13742	62604
180	13823	62551
181	13918	62554
182	13993	62475
183	14068	62388
184	14144	62313
185	14219	62230
186	14309	62211
187	14379	62108
188	14455	62030
189	14531	61949
190	14610	61885
191	14721	61952
192	14796	61870
193	14875	61802
194	14950	61718
195	15037	61683
196	15121	61636
197	15190	61528
198	15257	61413
199	15326	61305
200	15393	61190
201	15460	61077
202	15529	60969
203	15595	60854
204	15676	60793
205	15777	60813
206	15859	60754
207	15947	60724
208	16035	60687
209	16104	60583
210	16184	60519
211	16253	60415
212	16326	60322
213	16393	60209
214	16460	60098
215	16527	59990
216	16599	59895
217	16665	59782
218	16751	59741
219	16840	59707
220	16922	59650
221	16993	59554
222	17061	59448
223	17129	59340
224	17202	59252
225	17284	59196
226	17364	59131
227	17431	59022
228	17498	58912
229	17566	58810
230	17639	58723
231	17711	58630
232	17778	58524
233	17847	58424
234	17914	58318
235	17988	58232
236	18086	58227
237	18313	58634
238	18390	58557
239	18457	58447
240	18525	58345
241	18608	58285
242	18682	58199
243	18755	58111
244	18828	58022
245	18901	57935
246	18969	57830
247	19039	57733
248	19110	57638
249	19178	57535
250	19246	57433
251	19313	57328
252	19380	57222
253	19446	57113
254	19513	57011
255	19585	56920
256	19663	56847
257	19739	56768
258	19817	56698
259	19892	56617
260	19972	56550
261	20041	56451
262	20114	56366
263	20184	56273
264	20252	56172
265	20321	56075
266	20393	55987
267	20459	55881
268	20530	55790
269	20599	55693
270	20666	55593
271	20741	55514
272	20815	55432
273	20883	55334
274	20955	55246
275	21028	55161
276	21095	55061
277	21163	54965
278	21232	54869
279	21300	54773
280	21370	54680
281	21438	54584
282	21508	54494
283	21579	54405
284	21648	54310
285	21721	54228
286	21793	54140
287	21864	54054
288	21933	53961
289	22003	53870
290	22075	53784
291	22145	53696
292	22215	53604
293	22285	53514
294	22353	53420
295	22428	53343
296	22496	53248
297	22566	53160
298	22635	53068
299	22704	52978
300	22774	52888
301	22846	52804
302	22914	52710
303	22986	52627
304	23057	52540
305	23126	52449
306	23194	52358
307	23262	52264
308	23329	52170
309	23401	52086
310	23468	51992
311	23539	51907
312	23607	51815
313	23673	51720
314	23746	51640
315	23819	51557
316	23886	51465
317	23957	51380
318	24027	51293
319	24095	51203
320	24166	51117
321	24236	51031
322	24302	50936
323	24373	50854
324	24444	50769
325	24512	50680
326	24585	50599
327	24658	50519
328	24730	50437
329	24800	50352
330	24870	50267
331	24938	50177
332	25010	50095
333	25080	50010
334	25148	49921
335	25218	49837
336	25285	49745
337	25354	49658
338	25423	49572
339	25493	49486
340	25562	49399
341	25632	49316
342	25708	49243
343	25777	49157
344	25849	49076
345	25920	48994
346	25993	48915
347	26066	48837
348	26135	48751
349	26208	48672
350	26278	48589
351	26347	48503
352	26416	48416
353	26485	48332
354	26552	48243
355	26619	48153
356	26691	48073
357	26763	47995
358	26834	47912
359	26903	47827
360	26972	47743
361	27043	47662
362	27118	47587
363	27184	47497
364	27251	47410
365	27318	47322
366	27386	47236
367	27454	47150
368	27523	47066
369	27595	46986
370	27665	46904
371	27735	46822
372	27805	46740
373	27875	46658
374	27944	46574
375	28014	46492
376	28084	46410
377	28153	46327
378	28223	46245
379	28290	46158
380	28360	46076
381	28429	45993
382	28496	45906
383	28564	45821
384	28632	45737
385	28698	45649
386	28773	45576
387	28841	45492
388	28912	45412
389	28990	45343
390	29061	45264
391	29130	45182
392	29200	45101
393	29270	45020
394	29339	44937
395	29409	44856
396	29478	44775
397	29546	44691
398	29616	44609
399	29683	44525
400	29755	44448
401	29829	44373
402	29897	44289
403	29968	44210
404	30037	44129
405	30105	44046
406	30176	43967
407	30248	43890
408	30315	43806
409	30385	43724
410	30456	43646
411	30523	43562
412	30590	43479
413	30659	43396
414	30728	43315
415	30799	43237
416	30869	43157
417	30938	43077
418	31010	42999
419	31077	42916
420	31146	42835
421	31215	42755
422	31282	42671
423	31353	42593
424	31422	42513
425	31489	42430
426	31561	42353
427	31629	42271
428	31696	42188
429	31770	42114
430	31840	42035
431	31910	41955
432	31985	41884
433	32053	41802
434	32122	41721
435	32195	41647
436	32263	41565
437	32332	41486
438	32404	41409
439	32474	41331
440	32543	41251
441	32612	41172
442	32680	41089
443	32750	41012
444	32821	40934
445	32888	40852
446	32958	40774
447	33030	40698
448	33099	40618
449	33170	40542
450	33239	40462
451	33304	40378
452	33373	40299
453	33444	40221
454	33511	40140
455	33579	40059
456	33647	39978
457	33715	39898
458	33787	39823
459	33855	39743
460	33930	39671
461	34003	39596
462	34071	39517
463	34140	39437
464	34210	39360
465	34277	39279
466	34347	39201
467	34416	39122
468	34483	39042
469	34551	38962
470	34620	38883
471	34685	38801
472	34755	38723
473	34828	38649
474	34896	38569
475	34967	38493
476	35033	38412
477	35101	38332
478	35172	38256
479	35238	38174
480	35304	38093
481	35371	38013
482	35437	37932
483	35504	37852
484	35577	37777
485	35644	37698
486	35713	37619
487	35784	37544
488	35852	37465
489	35920	37386
490	35989	37309
491	36060	37233
492	36130	37156
493	36196	37076
494	36267	37000
495	36335	36921
496	36406	36845
497	36474	36767
498	36541	36687
499	36609	36609
500	36677	36531
501	36745	36452
502	36825	36386
503	36896	36310
504	36964	36232
505	37034	36155
506	37103	36078
507	37171	36000
508	37240	35923
509	37312	35849
510	37379	35770
511	37447	35692
512	37514	35613
513	37582	35535
514	37650	35457
515	37717	35378
516	37788	35303
517	37859	35227
518	37927	35150
519	37997	35074
520	38067	34998
521	38136	34921
522	38206	34846
523	38277	34771
524	38344	34692
525	38413	34616
526	38478	34536
527	38552	34464
528	38621	34387
529	38688	34308
530	38757	34231
531	38828	34157
532	38895	34079
533	38966	34004
534	39036	33928
535	39103	33850
536	39171	33773
537	39238	33695
538	39305	33617
539	39376	33543
540	39442	33464
541	39511	33387
542	39582	33313
543	39648	33234
544	39714	33156
545	39786	33082
546	39854	33006
547	39923	32929
548	39993	32854
549	40060	32776
550	40129	32701
551	40196	32623
552	40264	32546
553	40334	32471
554	40400	32393
555	40469	32317
556	40538	32241
557	40606	32164
558	40674	32088
559	40744	32013
560	40817	31940
561	40887	31866
562	40957	31791
563	41028	31716
564	41099	31643
565	41170	31568
566	41238	31492
567	41307	31417
568	41373	31339
569	41446	31266
570	41516	31191
571	41583	31114
572	41653	31039
573	41727	30968
574	41796	30892
575	41870	30821
576	41941	30747
577	42008	30670
578	42076	30594
579	42143	30517
580	42215	30444
581	42286	30370
582	42354	30294
583	42424	30219
584	42497	30147
585	42564	30070
586	42632	29995
587	42704	29922
588	42771	29845
589	42844	29773
590	42913	29698
591	42982	29622
592	43052	29548
593	43125	29476
594	43192	29399
595	43259	29323
596	43324	29245
597	43392	29170
598	43461	29094
599	43528	29018
600	43599	28945
601	43668	28870
602	43736	28795
603	43808	28722
604	43880	28649
605	43948	28573
606	44018	28499
607	44088	28425
608	44155	28349
609	44224	28274
610	44296	28201
611	44367	28128
612	44436	28053
613	44502	27977
614	44573	27903
615	44641	27828
616	44708	27752
617	44778	27678
618	44853	27607
619	44921	27532
620	44992	27459
621	45062	27385
622	45130	27310
623	45199	27235
624	45269	27161
625	45337	27086
626	45406	27012
627	45474	26936
628	45542	26862
629	45609	26786
630	45679	26712
631	45748	26638
632	45819	26564
633	45894	26494
634	45966	26421
635	46035	26347
636	46103	26272
637	46175	26200
638	46247	26127
639	46314	26052
640	46382	25976
641	46451	25903
642	46518	25827
643	46587	25753
644	46654	25677
645	46721	25603
646	46790	25528
647	46861	25455
648	46932	25382
649	47002	25309
650	47069	25233
651	47139	25160
652	47207	25085
653	47274	25010
654	47343	24936
655	47415	24863
656	47480	24788
657	47550	24714
658	47616	24639
659	47684	24564
660	47752	24490
661	47825	24418
662	47895	24345
663	47965	24271
664	48032	24196
665	48100	24122
666	48170	24048
667	48239	23975
668	48311	23902
669	48380	23828
670	48446	23754
671	48514	23679
672	48580	23604
673	48649	23530
674	48720	23457
675	48788	23383
676	48857	23310
677	48931	23238
678	48999	23164
679	49067	23090
680	49134	23016
681	49206	22943
682	49275	22870
683	49344	22796
684	49412	22722
685	49482	22649
686	49550	22575
687	49619	22501
688	49689	22428
689	49756	22354
690	49825	22280
691	49900	22210
692	49969	22136
693	50040	22064
694	50108	21990
695	50177	21916
696	50249	21844
697	50316	21770
698	50384	21696
699	50456	21624
700	50524	21550
701	50592	21476
702	50661	21403
703	50726	21328
704	50799	21256
705	50870	21183
706	50942	21111
707	51012	21039
708	51081	20965
709	51149	20891
710	51218	20818
711	51290	20746
712	51356	20672
713	51424	20598
714	51491	20524
715	51559	20450
716	51628	20377
717	51697	20304
718	51765	20231
719	51835	20158
720	51905	20085
721	51975	20012
722	52044	19939
723	52117	19867
724	52189	19796
725	52260	19723
726	52326	19649
727	52394	19575
728	52460	19501
729	52527	19428
730	52597	19355
731	52663	19281
732	52732	19208
733	52801	19135
734	52868	19061
735	52941	18990
736	53010	18916
737	53080	18844
738	53150	18771
739	53218	18698
740	53287	18625
741	53356	18552
742	53422	18478
743	53494	18406
744	53564	18334
745	53632	18260
746	53700	18187
747	53770	18115
748	53837	18041
749	53913	17971
750	53983	17898
751	54051	17825
752	54120	17752
753	54189	17679
754	54260	17607
755	54330	17535
756	54397	17461
757	54467	17389
758	54536	17316
759	54603	17243
760	54671	17170
761	54740	17097
762	54808	17024
763	54878	16951
764	54953	16881
765	55019	16807
766	55087	16734
767	55155	16661
